Time,Pseudoproxy
4515,-3.7356352591518203
4545,-3.7356352591518203
4575,-3.7431013306686864
4605,-3.8252842703334835
4635,-3.8904005900705307
4665,-3.8019999149008576
4695,-3.7978935226117656
4725,-3.7978935226117656
4755,-3.7978935226117656
4785,-3.7978935226117656
4815,-3.7978935226117656
4845,-3.7978935226117656
4875,-3.7978935226117656
4905,-3.7978935226117656
4935,-3.7978935226117656
4965,-3.8254330459611303
4995,-3.9339374628943276
5025,-3.8365672943188542
5055,-3.815420472532484
5085,-3.8152716335576287
5115,-3.8152716335576287
5145,-3.8152716335576287
5175,-3.8152716335576287
5205,-3.808551635521912
5235,-3.77718040992146
5265,-3.77718040992146
5295,-3.77718040992146
5325,-3.794212053184502
5355,-3.8680291921068353
5385,-3.8283658591071728
5415,-3.8152716335576287
5445,-3.8152716335576287
5475,-3.8152716335576287
5505,-3.8152716335576287
5535,-3.8152716335576287
5565,-3.806807524629967
5595,-3.77718040992146
5625,-3.77718040992146
5655,-3.7772017071881905
5685,-3.803935840620394
5715,-3.880585234467784
5745,-3.797446669797978
5775,-3.7384726464844533
5805,-3.7356352591518203
5835,-3.7356352591518203
5865,-3.7356352591518203
5895,-3.7356352591518203
5925,-3.7356352591518203
5955,-3.7356352591518203
5985,-3.7356352591518203
6015,-3.7375979997951134
6045,-3.825518060183075
6075,-3.97388856947671
6105,-3.8454029483464147
6135,-3.7978296870157777
6165,-3.7978935226117656
6195,-3.7978935226117656
6225,-3.797446669797978
6255,-3.7909344216018788
6285,-3.7882736700677953
6315,-3.7369366598964895
6345,-3.7358272736423785
6375,-3.7483048427812804
6405,-3.872780913587601
6435,-3.97762657024559
6465,-3.8426209246124508
6495,-3.7978935226117656
6525,-3.7978935226117656
6555,-3.7978935226117656
6585,-3.7978935226117656
6615,-3.7978935226117656
6645,-3.7978935226117656
6675,-3.7978935226117656
6705,-3.7978935226117656
6735,-3.798872313368573
6765,-3.8570796152664037
6795,-3.9324141805275588
6825,-3.841920057633363
6855,-3.8186096527834756
