Time,Pseudoproxy,95% CI Lower Bound,95% CI Upper Bound
7005,-102.05693548387103,-129.15976627433892,-75.04653429235684
7035,-116.31000000000006,-142.98262712712716,-89.72833533533527
7065,-116.31000000000006,-142.98262712712716,-89.72833533533527
7095,-115.54490043290048,-142.2406207436874,-88.94022133995462
7125,-149.082720288343,-174.7661605420274,-123.48686904337706
7155,-150.66895331888907,-176.30451592072666,-125.12081644717387
7185,-157.3448920570264,-182.77895319943156,-131.99756945825652
7215,-170.1686337377239,-195.21563281059804,-145.20705319906847
7245,-141.13572026300062,-167.05902672367532,-115.30082083398393
7275,-136.57811926605518,-162.63898889026657,-110.60612580929566
7305,-155.9787799778626,-181.4540748086668,-130.59036431118122
7335,-132.03402135231318,-158.23204657326372,-105.92534004467102
7365,-116.31000000000006,-142.98262712712716,-89.72833533533527
7395,-116.31000000000006,-142.98262712712716,-89.72833533533527
7425,-116.31000000000006,-142.98262712712716,-89.72833533533527
7455,-122.41845622119808,-148.90671034975065,-96.02053578232602
7485,-133.8497266964564,-159.99294804770474,-107.79566235923129
7515,-136.44483790955246,-162.5097303969002,-110.46883530894763
7545,-128.1511222193144,-154.46634591568815,-101.9256421217344
7575,-135.1280920628093,-161.23272820572794,-109.11248134561755
7605,-141.54480918067793,-167.45576801247478,-115.72221527104897
7635,-148.48281126567065,-174.18435871720942,-122.86891457437174
7665,-154.24556682411787,-179.77317564306458,-128.8050155772611
7695,-144.6765031050469,-170.4929372683276,-118.94811150361417
7725,-141.55828571428572,-167.46883778063778,-115.73609718289713
7755,-118.82763532763533,-145.42427206408686,-92.32170190133142
7785,-116.31000000000006,-142.98262712712716,-89.72833533533527
7815,9.931428571428796,-20.551573859573637,40.31047390247426
7845,-125.95727074235799,-152.33871198381783,-99.66579892337747
7875,-131.51863858207025,-157.73221972473365,-105.3944544035429
7905,-138.7880337135358,-164.78220096017068,-112.88251515722834
7935,-151.78500248570708,-177.38687910797938,-126.27043671324799
7965,-127.66887788778877,-153.99865728043486,-101.42889173366508
7995,-163.06404022737217,-188.32547894943482,-137.888751349513
8025,-134.64614651704437,-160.76532933791304,-108.61603873087573
8055,-130.52053216180366,-156.76423938983746,-104.36632463780084
8085,-116.31000000000006,-142.98262712712716,-89.72833533533527
8115,-106.32480225988718,-133.29881500426993,-79.44277980240139
8145,-116.31000000000006,-142.98262712712716,-89.72833533533527
8175,-116.65371450797363,-143.31596721770396,-90.08238888051801
8205,-152.2382587268994,-177.8264546073794,-126.73732704038734
8235,-134.75997120230397,-160.87571842540896,-108.73328729737659
8265,-154.76372909963618,-180.27569810239595,-129.33876433203085
8295,-149.68965956313252,-175.35478042317743,-124.11206523662695
8325,-156.0297600540723,-181.50351614101433,-130.64287788362873
8355,-149.91636588955157,-175.5746440181952,-124.34559095847445
8385,-143.98646630813028,-169.82372801748284,-118.23731818943261
8415,-124.69484735973595,-151.11439262880867,-98.36540146045373
8445,-125.29667796610181,-151.69805803769884,-98.98533531497608
8475,-113.87894085281982,-140.62494522101204,-87.22414918770215
8505,-108.48973451327436,-135.39840258842924,-81.67283387812597
8535,-108.53103873239434,-135.4384601124011,-81.71538054075191
8565,-129.91712510936134,-156.1790451171206,-103.74476691722339
8595,-135.24495027034243,-161.34605925396733,-109.23285468366701
8625,-144.92875769156024,-170.73757799418044,-119.20795398501022
8655,-157.72729203782387,-183.14981110993145,-132.39147214708203
8685,-137.04272692307688,-163.08957318299065,-111.08470900631389
8715,-143.73954737651343,-169.5842618991756,-117.98297186105941
8745,-143.47810653246313,-169.33071218679956,-117.71366679669863
8775,-133.20680307090606,-159.3694299400799,-107.13339939497685
8805,-101.90912592592576,-129.01641808771714,-74.89427857783681
8835,-116.31000000000006,-142.98262712712716,-89.72833533533527
8865,-112.89806949806939,-139.67367974151742,-86.21377292350249
8895,-119.58368372308405,-146.15750046955966,-93.1004924630581
8925,-135.70245645316163,-161.7897564179872,-109.70412279197328
8955,-150.58595187208118,-176.2240197264867,-125.03531829153636
8985,-162.27811568766572,-187.56327615852905,-137.07918595999922
9015,-136.56749934503523,-162.62868951286882,-110.59518643781306
9045,-149.63376779264934,-175.3005756474023,-124.0544922246445
9075,-138.12314480077737,-164.13738054886755,-112.19762618322882
9105,-147.7189047091705,-173.44350933544425,-122.08202947571307
9135,-117.90295178008114,-144.52749846173353,-91.36920359070194
9165,-116.31000000000006,-142.98262712712716,-89.72833533533527
9195,-116.31000000000006,-142.98262712712716,-89.72833533533527
9225,-94.2177499999998,-121.5571928053051,-66.97154371871845
9255,-86.02778816199373,-113.61443054892895,-58.53522533125012
9285,-127.00764123257534,-153.35737888971153,-100.7477648782312
9315,-148.83632058047488,-174.5271979756141,-123.23305755716127
9345,-137.28509803921554,-163.32462875362455,-111.33437071953259
9375,-148.65008132585808,-174.34658002506862,-123.04121616897541
9405,-132.60547445255486,-158.78625136757975,-106.51398262842176
9435,-149.52538648075176,-175.19546563462524,-123.94285076983613
9465,-150.47360926663714,-176.11506798483586,-124.91959638626366
9495,-136.99349244378925,-163.04182475979493,-111.03399353887619
9525,-114.07563843236426,-140.8157058303564,-87.42676349041845
9555,-116.31000000000006,-142.98262712712716,-89.72833533533527
9585,-116.31000000000006,-142.98262712712716,-89.72833533533527
9615,-116.31000000000006,-142.98262712712716,-89.72833533533527
9645,-135.93940211750055,-162.01955029453373,-109.9481958541477
9675,-131.7269519546951,-157.93424552489114,-105.60903390593752
9705,-145.28241679648772,-171.08056252155706,-119.57225126365566
9735,-130.4682738814995,-156.7135584337362,-104.31249441248998
9765,-132.2772545172104,-158.46793817323174,-106.17588973733776
9795,-135.47994753304408,-161.57396353795022,-109.47492073568873
9825,-134.30276260990274,-160.4323098695641,-108.26232573109891
9855,-139.8601142131979,-165.82192259708947,-113.98684416523113
9885,-5.8487499999999955,-35.855455518018054,24.05562274774781
9915,-116.31000000000006,-142.98262712712716,-89.72833533533527
9945,-102.29906002265022,-129.3945827101169,-75.29594201109389
9975,-119.72632731958765,-146.2958386201923,-93.24742682244089
10005,-140.1349754901961,-166.0884876702684,-114.26997335325524
10035,-146.5580450592886,-172.31768819068083,-120.88625081358033
10065,-138.98411109949836,-164.97236009538497,-113.08449061075079
10095,-126.95577121087308,-153.3070744733097,-100.69433459045936
10125,-120.94791054993527,-147.48055051103424,-94.50575564885636
10155,-141.45703180794374,-167.3706400452257,-115.63179752817689
10185,-144.4463561320755,-170.2697368766172,-118.7110416395168
10215,-138.1941960237183,-164.20628721571254,-112.27081464862147
10245,-116.31000000000006,-142.98262712712716,-89.72833533533527
10275,-116.31000000000006,-142.98262712712716,-89.72833533533527
10305,-110.31481682496621,-137.16839800315933,-83.55281522227794
10335,-126.2528207658903,-152.62534135013425,-99.97023918173998
10365,-137.44898864496588,-163.4835726099301,-111.5031912046792
10395,-138.39785002987458,-164.40379428417668,-112.48059462938343
10425,-133.39526469689713,-159.55220318363155,-107.32753000414552
10455,-147.63907704495944,-173.36609112876,-121.9998005710206
10485,-130.06919089190887,-156.32652106169704,-103.90140688487956
10515,-135.908238102572,-161.98932691053903,-109.91609441614722
10545,-141.93270694997784,-167.83195777040882,-116.12178112353165
10575,-140.98365321445328,-166.911549551311,-115.14417956224639
10605,-72.12549999999999,-100.13175848348348,-44.21475210210209
10635,-116.31000000000006,-142.98262712712716,-89.72833533533527
10665,-109.02684065934045,-135.9192971309219,-82.22609634084604
10695,-117.62371159563929,-144.25668665072402,-91.08156377636298
10725,-146.90748778103625,-172.6565835989821,-121.24620487895429
10755,-155.65587268058323,-181.1409138997555,-130.25774386393516
10785,-152.26079353750333,-177.8483092443924,-126.7605397049659
10815,-150.24527744982288,-175.89362796198918,-124.68439627877424
10845,-138.9160232558139,-164.9063273634098,-113.01435466396616
10875,-129.70098400104075,-155.9694278476904,-103.5221242184563
10905,-129.2715942426321,-155.55299846330232,-103.07981828518041
10935,-140.63174311926593,-166.57026124289422,-114.78168390408746
10965,-144.81612903225812,-170.62834883270364,-119.09193742129217
10995,-118.17039999999997,-144.78687422791208,-91.64469673462929
11025,-116.31000000000006,-142.98262712712716,-89.72833533533527
11055,-139.56499999999994,-165.53571588693956,-113.68285282651068
11085,-125.97519698929796,-152.35609715854866,-99.68426439729151
11115,-124.02865924227535,-150.46831222701027,-97.6791742012784
11145,-134.08776352941175,-160.22380015786368,-108.04085941270664
11175,-115.44730231044582,-142.14596844876107,-88.83968743621581
11205,-110.4962499999998,-137.34435493717385,-83.73970596254131
11235,-140.320984958758,-166.26888277044642,-114.46157804335154
11265,-145.76633333333336,-171.54987288955624,-120.07072415749083
11295,-134.41376440460942,-160.53996127048939,-108.37666649363821
11325,-116.31000000000006,-142.98262712712716,-89.72833533533527
11355,-116.31000000000006,-142.98262712712716,-89.72833533533527
11385,-116.31000000000006,-142.98262712712716,-89.72833533533527
11415,-116.31000000000006,-142.98262712712716,-89.72833533533527
11445,-124.08439882697951,-150.52236941046615,-97.73659044968716
11475,-140.40593563487414,-166.35126935993918,-114.54908406170942
11505,-135.21931544110987,-161.3211981669312,-109.2064487509543
11535,-133.27893648449037,-159.43938613354862,-107.20770260363757
11565,-146.51921086261984,-172.28002613588035,-120.8462484724341
11595,-135.09428258830894,-161.19993921070184,-109.07765487181462
11625,-142.70163078205303,-168.57767299011743,-116.91383441894453
11655,-118.76566891623668,-145.3641759997394,-92.25787152138241
11685,-116.31000000000006,-142.98262712712716,-89.72833533533527
11715,-116.31000000000006,-142.98262712712716,-89.72833533533527
11745,-116.31000000000006,-142.98262712712716,-89.72833533533527
11775,-119.17513663733212,-145.7612846584426,-92.6796561563879
11805,-130.65790790524363,-156.89746868827854,-104.50783268549363
11835,-141.90354628330988,-167.80367726713382,-116.09174329511835
11865,-142.02560140520143,-167.9220483700196,-116.21746987229466
11895,-127.66256190653496,-153.9925319359575,-101.42238576576929
11925,-125.83370569948192,-152.2188765342545,-99.53851700633275
11955,-144.97390526451284,-170.7813628671147,-119.25445961072407
11985,-148.76708246708245,-174.46004969279744,-123.16173674020513
12015,-124.17001270648029,-150.60539918571672,-97.82477962078968
12045,-116.31000000000006,-142.98262712712716,-89.72833533533527
12075,-116.31000000000006,-142.98262712712716,-89.72833533533527
12105,-116.31000000000006,-142.98262712712716,-89.72833533533527
12135,-114.8549670691549,-141.57151180406535,-88.22953457024542
12165,-124.75245732184806,-151.17026373562283,-98.42474434779331
12195,-136.58934011965346,-162.6498710621506,-110.61768418959177
12225,-161.55662740384605,-186.8635647285506,-136.33599508859805
12255,-137.184566929134,-163.22713199813998,-111.23081560300459
12285,-134.9876109385957,-161.09648725696553,-108.96777450635055
12315,-130.34408941826337,-156.59312225992608,-104.18457444273201
12345,-129.18447996762427,-155.46851357934204,-102.9900835862165
12375,-133.47944748026725,-159.63384505786914,-107.41424503130942
12405,-116.31000000000006,-142.98262712712716,-89.72833533533527
